x,y,z
0,0.146,a
0.025,0.208,a
0.05,0.29,a
0.075,0.37,a
0.1,0.482,a
0.125,0.642,a
0.15,0.808,a
0.175,0.848,a
0.2,0.806,a
0.225,0.638,a
0.25,0.398,a
0.275,0.242,a
0.3,0.102,a
0.325,0.066,a
0.35,0.022,a
0.375,0,a
0.4,0,a
0.425,0,a
0.45,0,a
0.475,0,a
0.5,0,a
0.525,0,a
0.55,0,a
0.575,0,a
0.6,0,a
0.625,0,a
0.65,0,a
0.675,0,a
0.7,0,a
0.725,0,a
0.75,0,a
0.775,0,a
0.8,0,a
0.825,0,a
0.85,0,a
0.875,-0.002,a
0.9,0,a
0.925,0,a
0.95,0,a
0.975,0,a
0,0.078,b
0.025,0.106,b
0.05,0.14,b
0.075,0.166,b
0.1,0.194,b
0.125,0.232,b
0.15,0.26,b
0.175,0.282,b
0.2,0.312,b
0.225,0.338,b
0.25,0.36,b
0.275,0.378,b
0.3,0.394,b
0.325,0.412,b
0.35,0.428,b
0.375,0.434,b
0.4,0.438,b
0.425,0.438,b
0.45,0.438,b
0.475,0.426,b
0.5,0.414,b
0.525,0.4,b
0.55,0.38,b
0.575,0.362,b
0.6,0.344,b
0.625,0.324,b
0.65,0.302,b
0.675,0.282,b
0.7,0.262,b
0.725,0.246,b
0.75,0.226,b
0.775,0.214,b
0.8,0.202,b
0.825,0.188,b
0.85,0.178,b
0.875,0.168,b
0.9,0.158,b
0.925,0.154,b
0.95,0.142,b
0.975,0.136,b
0,0.02,c
0.025,0.026,c
0.05,0.032,c
0.075,0.04,c
0.1,0.048,c
0.125,0.06,c
0.15,0.07,c
0.175,0.08,c
0.2,0.092,c
0.225,0.102,c
0.25,0.114,c
0.275,0.128,c
0.3,0.144,c
0.325,0.158,c
0.35,0.164,c
0.375,0.178,c
0.4,0.186,c
0.425,0.192,c
0.45,0.2,c
0.475,0.202,c
0.5,0.202,c
0.525,0.202,c
0.55,0.192,c
0.575,0.184,c
0.6,0.166,c
0.625,0.156,c
0.65,0.148,c
0.675,0.142,c
0.7,0.132,c
0.725,0.122,c
0.75,0.112,c
0.775,0.102,c
0.8,0.094,c
0.825,0.082,c
0.85,0.068,c
0.875,0.062,c
0.9,0.054,c
0.925,0.046,c
0.95,0.042,c
0.975,0.036,c
